__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 15:33:02.170,2,2,1,2,1,0,0,2,354,1075,-8639,160,-3002,-248,2,2,2,0,2,2,0,0,1314,3103,-19483,1886,21894,1655
'2017-08-02 15:33:02.180,2,2,1,2,1,0,0,2,279,936,-8529,565,-3190,-391,2,2,2,0,2,2,0,0,1700,3499,-22171,1516,25136,2296
'2017-08-02 15:33:02.190,2,2,1,2,1,0,0,2,63,1231,-8287,1047,-3272,-517,2,2,2,0,2,2,0,0,4726,3683,-27096,700,27545,3237
'2017-08-02 15:33:02.200,2,2,1,2,1,0,0,2,143,1290,-8232,1745,-3201,-705,2,2,2,0,1,1,0,0,-1698,2720,-27096,2290,31641,3796
'2017-08-02 15:33:02.210,2,2,1,2,1,0,0,2,-103,1020,-8290,2359,-3124,-917,2,2,2,0,1,1,0,0,5421,5087,-32768,2436,31748,4378
'2017-08-02 15:33:02.220,2,2,1,2,1,0,0,2,-401,898,-8512,2630,-3019,-1098,2,2,1,0,1,1,0,0,1128,6460,-27738,2629,32767,4872
'2017-08-02 15:33:02.230,2,2,1,2,1,0,0,1,-220,1017,-8643,2721,-2989,-1340,2,2,1,0,1,1,0,0,2647,8014,-32768,1637,32767,5984
'2017-08-02 15:33:02.240,2,2,2,2,1,0,0,1,-233,1139,-8816,2505,-3080,-1603,2,2,0,0,1,0,0,0,-5046,6633,-30685,-1111,32767,6604
'2017-08-02 15:33:02.250,2,2,2,1,1,0,0,1,-319,1906,-9137,2148,-3217,-2162,2,1,0,0,1,0,0,0,-15415,4066,-31787,-1790,32767,7940
'2017-08-02 15:33:02.260,2,2,2,1,1,0,0,0,-159,1011,-9803,2202,-3729,-2714,1,1,0,0,0,0,0,0,-18951,7626,-14496,-3210,21019,7897
'2017-08-02 15:33:02.270,2,2,2,1,2,0,0,0,-228,4377,-9852,1427,-4396,-3365,1,1,0,0,0,0,0,0,-10386,-1842,17531,3291,21313,5659
'2017-08-02 15:33:02.280,2,2,2,1,2,0,0,0,-440,1165,-10755,-14,-5299,-4688,1,1,0,0,0,0,0,0,-16982,5946,-16930,-254,3970,-1498
'2017-08-02 15:33:02.290,2,2,2,1,2,0,0,0,-766,-834,-10803,781,-6070,-4513,1,1,0,0,0,0,0,0,-16137,53,-8224,3886,-10809,-5840
