'2017-08-03 16:20:20.908,2,0,0,2,0,1,1,2,-1007,1582,-8233,-735,-3148,-574,2,1,2,0,1,2,2,0,847,-37,-9623,-1659,3443,31
'2017-08-03 16:20:20.918,2,0,0,1,0,1,1,1,-1136,1486,-8202,-280,-3117,-625,2,2,2,0,1,2,2,0,909,314,-9378,-2017,3886,80
'2017-08-03 16:20:20.928,2,0,0,1,0,1,1,1,-1214,1429,-8229,91,-3271,-670,2,2,2,0,2,2,1,0,918,809,-9327,-2144,4262,305
'2017-08-03 16:20:20.938,2,1,1,1,0,1,0,0,-1360,1744,-8270,359,-3386,-670,2,2,2,0,2,2,1,0,827,480,-9629,-1599,4311,626
'2017-08-03 16:20:20.948,2,1,1,0,0,1,0,0,-1238,1535,-8364,743,-3486,-727,2,2,2,0,2,2,1,0,983,532,-9543,-387,4838,592
'2017-08-03 16:20:20.958,2,1,1,0,1,1,0,0,-1507,1222,-8973,114,-3849,-776,2,2,2,0,2,2,1,0,1492,582,-9567,-65,5282,698
'2017-08-03 16:20:20.968,2,2,1,0,1,1,0,0,-1484,1103,-8856,-494,-4420,-681,2,2,2,0,2,2,1,0,1317,262,-9442,86,5666,700
'2017-08-03 16:20:20.978,2,2,1,0,1,1,0,0,-1182,1435,-9588,451,-5643,-611,2,2,2,0,2,2,1,0,1589,737,-10123,83,6073,760
'2017-08-03 16:20:20.988,2,2,1,0,1,1,0,0,-1427,1148,-9047,185,-5985,-709,2,2,2,0,2,2,0,0,1294,-479,-9413,103,6891,678
'2017-08-03 16:20:20.998,2,2,1,0,1,1,0,0,-1811,2438,-10517,-113,-6058,-834,2,2,2,0,2,2,0,0,1858,73,-9449,452,7170,908
'2017-08-03 16:20:21.008,2,2,1,0,1,1,0,0,-1941,1910,-8396,-51,-6671,-1250,2,2,2,0,2,2,0,0,1940,454,-9490,621,7593,922
'2017-08-03 16:20:21.018,2,2,2,0,1,1,0,0,-2046,2633,-7962,200,-6596,-1633,2,2,2,0,2,2,0,0,2408,937,-10001,895,8070,971
'2017-08-03 16:20:21.028,2,2,2,0,1,1,0,0,-2347,1935,-7899,391,-6607,-2073,2,2,2,0,2,2,0,0,1992,910,-9808,659,8712,1247
'2017-08-03 16:20:21.038,2,2,2,0,1,1,0,0,-2362,1261,-7514,406,-6482,-2189,2,2,2,0,2,1,0,0,2130,781,-10375,565,9342,1468
'2017-08-03 16:20:21.048,2,2,2,0,1,1,0,0,-2559,487,-8365,180,-6064,-1768,2,2,2,0,2,1,0,0,2298,450,-10328,543,10034,1662
'2017-08-03 16:20:21.058,2,2,2,0,1,1,0,0,-2067,2334,-10526,1711,-6190,-2051,2,2,2,0,2,1,0,0,2239,11,-10345,726,10681,1762
'2017-08-03 16:20:21.068,2,2,2,0,1,1,0,0,-2544,2100,-10961,2665,-7664,-2078,2,2,2,0,2,1,0,0,2434,375,-10066,948,11438,1728
'2017-08-03 16:20:21.078,2,2,2,0,1,1,0,0,-2655,1689,-10835,3053,-8733,-2289,2,2,2,0,2,0,0,0,2526,88,-10000,827,12368,1848
'2017-08-03 16:20:21.088,2,2,2,0,1,1,0,0,-2990,1725,-11824,3026,-9904,-2216,2,2,2,0,2,0,0,0,2703,425,-10230,1038,13279,1905
'2017-08-03 16:20:21.098,2,2,2,0,1,1,0,0,-3051,1409,-11643,2112,-11410,-2273,2,2,2,0,2,0,0,0,2682,616,-10302,1096,14321,2126
